,ID,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
247,247,2015-01-11,08:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
248,248,2015-01-11,09:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
249,249,2015-01-11,10:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
250,250,2015-01-11,11:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
251,251,2015-01-11,12:00,Americana - Vila Santa Maria,SP01,MP10,31.0,ug/m3,automatica
252,252,2015-01-11,13:00,Americana - Vila Santa Maria,SP01,MP10,27.0,ug/m3,automatica
253,253,2015-01-11,14:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
254,254,2015-01-11,15:00,Americana - Vila Santa Maria,SP01,MP10,38.0,ug/m3,automatica
255,255,2015-01-11,16:00,Americana - Vila Santa Maria,SP01,MP10,27.0,ug/m3,automatica
256,256,2015-01-11,17:00,Americana - Vila Santa Maria,SP01,MP10,29.0,ug/m3,automatica
257,257,2015-01-11,18:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
258,258,2015-01-11,19:00,Americana - Vila Santa Maria,SP01,MP10,33.0,ug/m3,automatica
259,259,2015-01-11,20:00,Americana - Vila Santa Maria,SP01,MP10,37.0,ug/m3,automatica
260,260,2015-01-11,21:00,Americana - Vila Santa Maria,SP01,MP10,44.0,ug/m3,automatica
261,261,2015-01-11,22:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
262,262,2015-01-11,23:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
263,263,2015-01-11,23:55,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
264,264,2015-01-12,01:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
265,265,2015-01-12,02:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
266,266,2015-01-12,03:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
267,267,2015-01-12,04:00,Americana - Vila Santa Maria,SP01,MP10,27.0,ug/m3,automatica
268,268,2015-01-12,05:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
